id_usuario,tipo,nombre_categoria,monto,fecha
1,1,Nomina,2377.64,2024-01-01
1,2,Entretenimiento,448.4,2024-01-01
1,2,Entretenimiento,952.82,2024-01-01
1,2,Hogar,4329.77,2024-01-01
1,1,Ahorro,602.17,2024-01-02
1,2,Alimentacion,166.55,2024-01-02
1,2,Hogar,3216.24,2024-01-02
1,1,Ahorro,313.6,2024-01-03
1,2,Alimentacion,108.05,2024-01-03
1,2,Alimentacion,181.04,2024-01-04
1,2,Alimentacion,227.84,2024-01-05
1,2,Transporte,58.98,2024-01-05
1,2,Alimentacion,214.8,2024-01-06
1,2,Alimentacion,103.21,2024-01-06
1,2,Transporte,33.49,2024-01-06
1,2,Transporte,31.7,2024-01-10
1,2,Alimentacion,111.06,2024-01-10
1,2,Alimentacion,211.97,2024-01-11
1,2,Alimentacion,249.01,2024-01-11
1,2,Tarjeta Credito,3238.63,2024-01-11
1,2,Tarjeta Credito,4406.66,2024-01-13
1,1,Nomina,912.39,2024-01-15
1,2,Alimentacion,134.34,2024-01-18
1,2,Transporte,72.5,2024-01-18
1,2,Entretenimiento,516.37,2024-01-20
1,2,Alimentacion,112.15,2024-01-23
1,2,Transporte,39.48,2024-01-23
1,2,Alimentacion,202.44,2024-01-24
1,2,Alimentacion,238.1,2024-01-24
1,2,Entretenimiento,275.03,2024-01-25
1,2,Entretenimiento,147.71,2024-01-26
1,2,Alimentacion,219.29,2024-01-26
1,2,Entretenimiento,432.52,2024-01-27
1,2,Alimentacion,142.35,2024-01-27
1,2,Transporte,24.52,2024-01-27
1,2,Alimentacion,82.11,2024-01-28
1,2,Entretenimiento,631.21,2024-01-29
1,2,Alimentacion,108.02,2024-01-31
1,2,Transporte,68.7,2024-01-31
1,2,Alimentacion,129.2,2024-01-31
1,1,Nomina,2026.3,2024-02-01
1,2,Entretenimiento,388.11,2024-02-01
1,2,Transporte,42.83,2024-02-01
1,2,Transporte,35.01,2024-02-01
1,2,Transporte,35.32,2024-02-02
1,2,Transporte,12.0,2024-02-02
1,2,Alimentacion,169.08,2024-02-02
1,2,Alimentacion,189.92,2024-02-03
1,2,Transporte,39.07,2024-02-03
1,2,Alimentacion,128.8,2024-02-03
1,2,Alimentacion,163.74,2024-02-04
1,2,Alimentacion,80.69,2024-02-06
1,2,Transporte,21.43,2024-02-07
1,2,Transporte,16.42,2024-02-07
1,2,Transporte,42.39,2024-02-07
1,2,Transporte,31.34,2024-02-08
1,2,Entretenimiento,939.54,2024-02-10
1,2,Alimentacion,181.92,2024-02-10
1,2,Entretenimiento,199.66,2024-02-11
1,2,Alimentacion,49.8,2024-02-11
1,2,Alimentacion,86.16,2024-02-12
1,2,Entretenimiento,300.68,2024-02-13
1,2,Entretenimiento,974.5,2024-02-14
1,1,Nomina,2922.07,2024-02-15
1,2,Entretenimiento,236.34,2024-02-16
1,2,Entretenimiento,890.49,2024-02-16
1,2,Transporte,29.65,2024-02-16
1,2,Transporte,59.75,2024-02-18
1,2,Transporte,44.51,2024-02-19
1,2,Alimentacion,84.0,2024-02-19
1,2,Alimentacion,54.22,2024-02-20
1,2,Transporte,65.73,2024-02-20
1,2,Entretenimiento,900.09,2024-02-20
1,1,Ahorro,919.93,2024-02-21
1,2,Salud,1114.29,2024-02-21
1,2,Entretenimiento,956.62,2024-02-22
1,2,Transporte,77.82,2024-02-22
1,2,Transporte,13.51,2024-02-23
1,2,Alimentacion,202.35,2024-02-23
1,2,Transporte,39.6,2024-02-23
1,2,Salud,224.23,2024-02-23
1,2,Transporte,50.85,2024-02-24
1,2,Entretenimiento,1096.28,2024-02-24
1,2,Transporte,26.73,2024-02-26
1,2,Entretenimiento,487.81,2024-02-26
1,2,Entretenimiento,631.28,2024-02-26
1,2,Entretenimiento,174.25,2024-02-27
1,2,Alimentacion,104.93,2024-02-27
1,1,Ahorro,501.67,2024-02-28
1,2,Alimentacion,128.5,2024-02-28
1,2,Alimentacion,229.09,2024-02-28
1,2,Entretenimiento,206.68,2024-02-28
1,2,Entretenimiento,352.78,2024-02-29
1,2,Alimentacion,141.65,2024-02-29
1,1,Nomina,2467.17,2024-03-01
1,2,Alimentacion,180.95,2024-03-01
1,2,Hogar,1940.16,2024-03-01
1,2,Alimentacion,70.99,2024-03-02
1,1,Ahorro,946.98,2024-03-03
1,2,Transporte,32.79,2024-03-03
1,2,Entretenimiento,896.35,2024-03-05
1,2,Transporte,21.83,2024-03-05
1,2,Alimentacion,241.82,2024-03-05
1,2,Alimentacion,149.42,2024-03-06
1,2,Entretenimiento,654.97,2024-03-06
1,2,Transporte,23.52,2024-03-07
1,2,Alimentacion,87.71,2024-03-08
1,2,Transporte,22.5,2024-03-08
1,2,Transporte,25.6,2024-03-10
1,2,Entretenimiento,972.89,2024-03-10
1,2,Entretenimiento,577.6,2024-03-10
1,2,Salud,217.31,2024-03-10
1,2,Alimentacion,110.2,2024-03-11
1,2,Entretenimiento,156.33,2024-03-11
1,2,Entretenimiento,855.4,2024-03-12
1,2,Entretenimiento,579.94,2024-03-12
1,2,Transporte,54.08,2024-03-12
1,2,Alimentacion,119.03,2024-03-13
1,2,Alimentacion,129.36,2024-03-14
1,1,Nomina,818.5,2024-03-15
1,2,Tarjeta Credito,4817.82,2024-03-15
1,2,Transporte,24.49,2024-03-16
1,1,Ahorro,388.92,2024-03-17
1,2,Transporte,42.89,2024-03-17
1,2,Alimentacion,38.19,2024-03-17
1,2,Transporte,71.65,2024-03-17
1,2,Entretenimiento,925.67,2024-03-18
1,2,Entretenimiento,138.53,2024-03-18
1,2,Alimentacion,246.55,2024-03-19
1,2,Alimentacion,199.55,2024-03-19
1,2,Transporte,69.14,2024-03-19
1,2,Transporte,18.34,2024-03-20
1,2,Entretenimiento,178.22,2024-03-20
1,2,Transporte,59.46,2024-03-20
1,2,Entretenimiento,425.63,2024-03-21
1,1,Ahorro,892.78,2024-03-22
1,2,Entretenimiento,972.36,2024-03-22
1,2,Transporte,42.63,2024-03-22
1,2,Transporte,36.29,2024-03-23
1,2,Transporte,79.75,2024-03-23
1,2,Transporte,56.42,2024-03-24
1,2,Alimentacion,93.82,2024-03-24
1,2,Alimentacion,75.63,2024-03-24
1,2,Alimentacion,187.29,2024-03-26
