id_usuario,tipo,nombre_categoria,monto,fecha
1,2,Transporte,57.66,2024-01-01
1,2,Transporte,33.12,2024-01-01
1,2,Entretenimiento,758.66,2024-01-01
1,2,Hogar,7045.16,2024-01-01
1,2,Entretenimiento,322.4,2024-01-03
1,2,Salud,506.76,2024-01-03
1,2,Hogar,6746.43,2024-01-03
1,2,Entretenimiento,323.03,2024-01-05
1,2,Alimentacion,37.61,2024-01-05
1,2,Hogar,2983.9,2024-01-05
1,1,Nomina,2821.08,2024-01-06
1,2,Entretenimiento,273.08,2024-01-07
1,2,Entretenimiento,733.74,2024-01-08
1,2,Alimentacion,210.48,2024-01-09
1,2,Alimentacion,236.83,2024-01-09
1,2,Entretenimiento,590.7,2024-01-09
1,2,Salud,1049.84,2024-01-10
1,2,Entretenimiento,598.08,2024-01-11
1,2,Salud,703.47,2024-01-11
1,2,Alimentacion,233.96,2024-01-11
1,2,Tarjeta Credito,4700.77,2024-01-11
1,2,Salud,1398.8,2024-01-13
1,2,Transporte,42.34,2024-01-13
1,2,Salud,777.5,2024-01-13
1,2,Alimentacion,133.85,2024-01-14
1,2,Salud,1440.36,2024-01-15
1,2,Entretenimiento,212.21,2024-01-15
1,2,Alimentacion,230.25,2024-01-16
1,2,Salud,378.76,2024-01-19
1,2,Alimentacion,245.08,2024-01-20
1,2,Transporte,70.78,2024-01-21
1,2,Salud,712.67,2024-01-21
1,2,Salud,946.46,2024-01-21
1,2,Entretenimiento,937.03,2024-01-22
1,2,Entretenimiento,943.67,2024-01-22
1,2,Entretenimiento,627.6,2024-01-23
1,1,Nomina,882.85,2024-01-26
1,2,Salud,1461.62,2024-01-27
1,2,Entretenimiento,847.33,2024-01-27
1,2,Alimentacion,96.32,2024-01-29
1,2,Transporte,45.0,2024-02-01
1,2,Transporte,19.34,2024-02-01
1,2,Transporte,24.22,2024-02-01
1,2,Entretenimiento,867.44,2024-02-02
1,2,Salud,223.81,2024-02-02
1,2,Alimentacion,123.95,2024-02-03
1,2,Entretenimiento,363.37,2024-02-03
1,1,Nomina,1269.39,2024-02-04
1,1,Ahorro,465.37,2024-02-05
1,2,Alimentacion,248.29,2024-02-06
1,2,Transporte,23.65,2024-02-08
1,2,Salud,1401.0,2024-02-08
1,2,Salud,1172.72,2024-02-09
1,2,Transporte,76.92,2024-02-09
1,2,Salud,381.52,2024-02-10
1,2,Transporte,23.33,2024-02-10
1,2,Transporte,11.9,2024-02-11
1,2,Transporte,74.86,2024-02-12
1,2,Entretenimiento,809.42,2024-02-12
1,2,Alimentacion,93.49,2024-02-12
1,2,Transporte,22.16,2024-02-13
1,2,Transporte,21.96,2024-02-13
1,2,Salud,446.96,2024-02-13
1,2,Tarjeta Credito,4109.57,2024-02-14
1,2,Entretenimiento,981.62,2024-02-15
1,2,Alimentacion,202.2,2024-02-15
1,2,Alimentacion,127.87,2024-02-16
1,2,Alimentacion,195.48,2024-02-16
1,2,Alimentacion,123.21,2024-02-16
1,2,Alimentacion,93.84,2024-02-17
1,2,Transporte,69.25,2024-02-17
1,2,Alimentacion,67.88,2024-02-17
1,2,Salud,1435.96,2024-02-18
